地区,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
北京,656.1,633,634.4,648.3,671.7,733.8,790.3,872.6,924.8,975.1,,
天津,188.4,183.7,189.9,185.8,200,215.9,240.7,269,306.9,294.8,,
河北,678.1,589.3,584.6,577.4,585.3,614.1,635.9,725.2,699.6,755.7,,
山西,374.6,361.2,420,392.4,394.6,445,447,469.4,479.1,478.9,,
内蒙古,366.5,334,340,385.9,350.1,324.6,329.1,345.3,369.2,349.3,,
辽宁,813.3,837.3,876,929.9,927.1,917.1,933.2,933.1,864.5,872.2,,
吉林,521.3,499.4,493,508.6,485.4,504.6,490.3,534.1,495,470.6,,
黑龙江,912.4,782.4,796.6,710,581.9,553.4,523,541.9,553.2,524.9,,3035.4
上海,710,732,704,716,735,608.4,613.2,629.4,743.1,784.7,,
江苏,957.3,1017.1,1119.8,1210.1,1202.7,1352.4,1456.1,1562.3,1734.7,1718,,
浙江,925.6,959,1018.1,1055,1123.3,1229.1,1332.6,1433.5,1454.6,1474.6,,
安徽,432.8,435.3,435.1,442.1,455.9,464.8,491.9,540,612.2,612,,
福建,392.4,417.3,433.5,493.8,551.8,598.9,608.1,657,786.4,874.9,,
江西,280.8,284,306.6,327.2,339,308.5,329.3,399.5,451.5,448.8,,
山东,958.4,992,959.5,1062.4,1007.4,958.5,1377.5,1466.3,1591.3,1700.8,,
河南,679.5,694.6,729.5,795.8,805.6,832.8,891.8,915.4,985.6,1019.6,,
湖北,680.6,711.1,736.3,716.6,745.8,739.3,832.2,880.1,908,954.2,,
湖南,511.9,505.2,531.6,565.4,616.8,600.8,638.2,681.6,764.9,824.5,,
广东,1960.6,1938.6,1978.8,2136.9,2092.1,2214.2,2320.4,2391,2644.5,3035.4,,
广西,240.2,245.1,255.8,266.2,302.3,338.9,385.5,411.2,438.3,466.5,,
海南,88.7,97.7,113.6,110.2,125.3,144.2,160.1,188.7,213.1,222.4,,
重庆,224.3,256.7,281.6,335.3,349.8,399.4,440,494.1,529.7,549.2,,
四川,590.1,656,669,702.8,750.7,780,823.6,886.7,989.9,1013.1,,
贵州,209.1,213.3,218.3,235.7,248.4,273.8,268.3,294,323.5,338.5,,
云南,282.1,265.5,300.2,306.7,324.1,349.5,371,432.1,409.1,435.8,,
西藏,22.9,16.3,17.3,25.6,24.1,30.8,32.9,46.1,46.5,53.9,,
陕西,356.2,388.3,428.3,433.1,437.3,517.9,522.7,532.8,379.2,650.2,,
甘肃,263.6,278.3,276.2,270.5,272.8,253,262.7,257.2,254.6,281.2,,
青海,87.4,86.3,83.1,66.3,74.1,77.6,82.2,82,77.7,113.5,,
宁夏,70.4,91.9,120.5,116.2,106,118.4,132.2,112.2,119,117.7,,
新疆,298.2,303.3,344.5,352.7,352.3,360.6,380,378.7,371.4,390.7,,
