地区,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,,
北京,100,99.9,99.8,78.8,99.6,99.3,99.1,98.2,97,98.2,,
天津,94.5,94.4,94.2,92.7,96.7,96.8,99.8,100,100,94.3,,
河北,99.8,99.8,97.8,96,86.6,83.3,81.4,72.6,69.8,59,,
山西,99.8,94.9,94.6,97.2,92.1,87.9,80.3,77.5,73.6,62.9,,
内蒙古,99.8,99.4,98.9,97.7,96.1,93.6,91.2,83.5,82.8,72,,
辽宁,99.6,99.1,93.3,95.2,91.6,87.6,87.2,80.5,70.9,59.9,,
吉林,87.2,71.8,86.3,84.7,61.9,60.9,45.8,49.2,44.5,38.4,,
黑龙江,86.9,82.7,80.6,78.2,58.9,54.4,47.6,43.7,40.4,29.9,,
上海,100,100,100,100,100,90.6,83.6,61,81.9,78.8,,
江苏,100,100,99.9,100,98.1,97.4,95.9,93.8,93.6,91,,
浙江,100,100,100,99.2,100,99.4,99,96.4,98.3,97.6,,
安徽,100,99.9,99.9,99.6,99.5,98.8,91.1,87,64.6,60.9,,
福建,99.9,99.4,98.4,99.2,97.9,98.2,96.4,94.6,92,92.5,,
江西,100,97.6,95,94.5,93.1,93.3,89.1,88.3,85.9,84.4,,
山东,100,100,100,100,100,99.5,98.1,92.5,91.9,90.5,,
河南,99.7,99.7,98.8,96,92.8,90,86.4,84.4,82.6,75.3,,29.9
湖北,100,99.9,95.8,91.5,90.2,85.4,71.5,61,61.4,55.7,,
湖南,100,99.8,99.9,99.8,99.7,96,95,86.4,79,66.6,,
广东,99.9,98,96.2,91.6,86.4,84.6,79.1,72.1,72.1,65.5,,
广西,100,99.9,99,98.7,95.4,96.4,98,95.5,91.1,86.3,,
海南,100,100,99.9,99.8,99.8,99.9,99.9,91.4,68,65,,
重庆,100,99.4,100,98.6,99.2,99.4,99.3,99.6,98.8,95.9,,
四川,99.3,98.5,98.6,96.8,95.4,95,88.3,88.4,86.9,83.5,,
贵州,96.1,95.2,94.7,93.8,93.3,92.2,91.9,88.6,90.6,81.7,,
云南,98.2,92.7,93,90,92.5,87.6,82.7,74.1,88.3,80.9,,
西藏,96,95.4,91.2,,,,,,,,,
陕西,99.1,99,98.5,98,95.8,96.4,88.5,90.3,79.8,69.2,,
甘肃,99.8,98.4,72.8,64.2,62.6,42.3,41.7,41.7,38,32.4,,
青海,96,94.8,96.3,87.2,86.3,77.8,89.2,89.5,67.3,65.1,,
宁夏,99.3,99.1,98.3,89.9,93.3,92.5,70.6,67,92.5,42,,
新疆,91.4,88.6,83.3,80.9,81.9,78.1,78.7,79.5,70.6,60.6,,
